State,Governor Political Affiliation
Alabama,0
Alaska,0
Arizona,0
Arkansas,0
California,1
Colorado,1
Connecticut,1
Delaware,1
District of Columbia,1
Florida,0
Georgia,0
Hawaii,1
Idaho,0
Illinois,1
Indiana,0
Iowa,0
Kansas,1
Kentucky,1
Louisiana,1
Maine,1
Maryland,0
Massachusetts,0
Michigan,1
Minnesota,1
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,1
New Hampshire,0
New Jersey,1
New Mexico,1
New York,1
North Carolina,1
North Dakota,0
Ohio,0
Oklahoma,0
Oregon,1
Pennsylvania,1
Rhode Island,1
South Carolina,0
South Dakota,0
Tennessee,0
Texas,0
Utah,0
Vermont,0
Virginia,1
Washington,1
West Virginia,0
Wisconsin,1
Wyoming,0
